UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
458423,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",12
458432,"R",28,"R",66,"R",42,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"R",0,"R",0,"A",,"R",9
458441,"R",88,"R",169,"R",52,"R",151,"Z",0,"R",151,"R",87,"R",58,"R",28,"Z",0,"R",28,"R",7,"R",25,"R",14
458469,"R",196,"R",373,"R",53,"R",50,"R",0,"R",50,"R",35,"R",70,"R",19,"R",0,"R",19,"R",4,"R",21,"R",29
458478,"A",,"A",,"A",,"R",46,"Z",0,"R",46,"R",26,"R",57,"A",,"A",,"A",,"A",,"A",,"R",15
458487,"A",,"A",,"A",,"R",21,"R",0,"R",21,"R",17,"R",81,"R",3,"R",0,"R",3,"R",2,"R",67,"R",15
458496,"R",95,"R",254,"R",37,"R",38,"Z",0,"R",38,"R",20,"R",53,"R",42,"Z",0,"R",42,"R",18,"R",43,"R",22
458502,"R",88,"R",209,"R",42,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"R",0,"R",0,"A",,"R",21
458557,"R",17,"R",84,"R",20,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"R",0,"R",0,"A",,"R",10
458593,"R",168,"R",224,"R",75,"R",139,"R",0,"R",139,"R",90,"R",65,"R",82,"R",0,"R",82,"R",58,"R",71,"R",10
458609,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",15
458618,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",16
458627,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",9
458636,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",12
