UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
143279,"R",539,"R",1893,"R",28,"R",525,"R",4,"R",0,"R",521,"R",331,"R",64,"R",133,"R",4,"R",0,"R",129,"R",52,"R",40,"R",18
143288,"R",167,"R",199,"R",84,"R",145,"R",0,"R",0,"R",145,"R",102,"R",70,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",11
143297,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",10
143303,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",4
143358,"R",1089,"R",1289,"R",84,"R",1264,"R",2,"R",0,"R",1262,"R",1041,"R",82,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",12
143376,"A",,"A",,"A",,"R",30,"R",0,"R",0,"R",30,"R",27,"R",90,"R",18,"R",0,"R",0,"R",18,"R",16,"R",89,"R",12
143464,"A",,"A",,"A",,"R",2,"R",0,"R",0,"R",2,"R",2,"R",100,"R",4,"R",0,"R",0,"R",4,"R",4,"R",100,"R",8
143473,"A",,"A",,"A",,"R",4,"R",0,"R",0,"R",4,"R",2,"R",50,"R",7,"R",0,"R",0,"R",7,"R",3,"R",43,"R",22
143482,"A",,"A",,"A",,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",3,"R",0,"R",0,"R",3,"R",1,"R",33,"R",11
143491,"A",,"A",,"A",,"R",2,"R",0,"R",0,"R",2,"R",2,"R",100,"R",6,"R",0,"R",0,"R",6,"R",6,"R",100,"R",12
143543,"A",,"A",,"A",,"R",21,"R",0,"Z",0,"R",21,"R",16,"R",76,"R",10,"R",0,"Z",0,"R",10,"R",5,"R",50,"R",12
143552,"A",,"A",,"A",,"R",4,"R",0,"R",0,"R",4,"R",4,"R",100,"R",2,"R",0,"R",0,"R",2,"R",1,"R",50,"R",7
143613,"R",202,"R",1033,"R",20,"R",257,"R",2,"R",0,"R",255,"R",142,"R",56,"R",58,"R",1,"R",0,"R",57,"R",22,"R",39,"R",14
